event_id	kind	normal	deobf	disposition	fallback_evidence	reason
B034:work/jadx/sources/gd/m.java:138	BAD_CODE_MARKER	yes	yes	PROTOCOL_ADJACENT_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/gd/m.smali:557-873	connection/preferences state method k
B035:work/jadx/sources/gd/m.java:196	BAD_CODE_MARKER	yes	yes	PROTOCOL_ADJACENT_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/gd/m.smali:875-1180	connection/preferences state method l
B036:work/jadx/sources/gd/m.java:85	BAD_CODE_MARKER	yes	yes	PROTOCOL_ADJACENT_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/gd/m.smali:269-555	connection/preferences state method j
B037:work/jadx/sources/i0/m0.java:27	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B038:work/jadx/sources/i0/y.java:49	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B039:work/jadx/sources/i0/z.java:150	BAD_CODE_MARKER	yes	yes	PROTOCOL_ADJACENT_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/i0/z.smali:1128-4371	shared coroutine includes Bluetooth bond/session branch; no command builder
B040:work/jadx/sources/j9/k4.java:29	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B041:work/jadx/sources/j9/v2.java:737	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B042:work/jadx/sources/jd/g.java:394	BAD_CODE_MARKER	yes	yes	PROTOCOL_AUTHORITATIVE_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/jd/g.smali:1660-2337	variant selection jd.g.e
B043:work/jadx/sources/l3/f.java:55	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	work/smali/com.linak.linakbed.ble.memory/smali/l3/f.smali:79-624	WorkManager/constraint logic; no Bluetooth or app builder call
B044:work/jadx/sources/l6/i0.java:242	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B045:work/jadx/sources/n5/d.java:28	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B046:work/jadx/sources/nc/k.java:55	BAD_CODE_MARKER	yes	yes	PROTOCOL_AUTHORITATIVE_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/nc/k.smali:112-704	store-memory mapping and write nc.k.r
B047:work/jadx/sources/o1/l.java:575	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B048:work/jadx/sources/o7/j.java:83	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B049:work/jadx/sources/p2/h.java:291	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B050:work/jadx/sources/r1/l.java:110	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B051:work/jadx/sources/sc/j.java:165	BAD_CODE_MARKER	yes	yes	PROTOCOL_ADJACENT_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/sc/j.smali:794-1020	DataStore persistence only; no GATT/write builder
B052:work/jadx/sources/tg/q.java:162	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B053:work/jadx/sources/u/b.java:74	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B054:work/jadx/sources/u/h.java:91	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B055:work/jadx/sources/ug/e.java:93	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B056:work/jadx/sources/ug/q0.java:207	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B057:work/jadx/sources/ug/v0.java:46	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B058:work/jadx/sources/v/b.java:26	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B059:work/jadx/sources/vg/m.java:25	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B060:work/jadx/sources/w/m2.java:58	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B061:work/jadx/sources/w/o2.java:142	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B062:work/jadx/sources/x2/w.java:1575	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B063:work/jadx/sources/xb/o.java:68	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
B064:work/jadx/sources/xb/r0.java:52	BAD_CODE_MARKER	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
